84	104
47	48
80	155
94	92
85	105
58	113
84	84
88	92
95	95
143	56
116	98
89	78
171	52
45	123
93	98
77	122
74	102
51	122
79	54
101	88
115	52
71	82
43	122
136	84
161	90
65	72
79	79
81	54
66	98
159	69
98	127
89	76
104	101
79	85
112	103
107	77
78	85
117	98
52	106
87	71
73	133
71	90
98	124
58	197
57	105
104	72
73	65
61	127
99	148
116	124
90	106
53	149
84	81
62	65
83	124
73	130
102	66
59	121
69	99
118	153
63	96
102	100
86	106
142	90
59	73
89	105
92	135
106	60
52	175
93	46
102	56
72	71
139	73
89	74
101	61
53	105
91	62
101	68
67	85
87	148
116	51
51	108
89	111
68	115
111	49
57	81
106	67
83	88
122	63
63	124
65	75
64	98
129	41
70	100
58	129
111	90
100	72
125	94
60	149
66	100
88	110
81	146
118	91
110	88
65	88
99	93
73	125
103	67
136	91
63	127
62	112
184	81
50	57
111	115
88	99
65	106
79	70
88	96
63	105
106	36
66	105
30	147
109	53
69	96
84	73
85	70
98	79
61	82
92	113
98	87
133	104
111	142
24	127
77	122
75	114
153	79
129	75
51	113
132	78
65	64
80	62
47	233
103	95
95	44
74	54
92	166
79	111
72	113
38	188
58	134
159	21
99	100
110	105
86	103
90	147
89	70
115	85
32	197
61	123
150	101
110	62
56	99
96	85
78	66
77	134
125	64
84	102
45	143
68	83
157	97
117	110
132	52
99	86
67	113
70	135
89	81
121	99
82	112
113	120
149	53
106	97
61	107
67	119
50	145
86	66
104	112
104	91
67	98
62	82
82	57
87	149
86	122
98	101
65	68
69	117
119	81
